,address,city,zip,State
1992,401 NE NORTHGATE WAY #463,seattle,98125.0,WA
1994,999 NW LEARY WAY ,seattle,98107.0,WA
1997,1001 4TH AVE #510,seattle,98104.0,WA
1998,1111 3RD AVE #1,seattle,98101.0,WA
1999,4721 CALIFORNIA AVE SW ,seattle,98116.0,WA
2012,3920 STONE WAY N,seattle,98103.0,WA
2013,309 NE 45TH ST ,seattle,98105.0,WA
2026,2123 QUEEN ANNE AVE N ,seattle,98109.0,WA
2029,1316 NE 43RD ST ,seattle,98105.0,WA
2041,3520 SW GENESEE ST ,seattle,98126.0,WA
2052,3200 15TH AVE W ,seattle,98119.0,WA
2055,2576 AURORA AVE N ,seattle,98109.0,WA
2064,4301 INTERLAKE AVE N ,seattle,98103.0,WA
2069,14356 AURORA AVE N ,seattle,98133.0,WA
2081,823 3RD AVE,seattle,98104.0,WA
2082,823 3RD AVE ,seattle,98104.0,WA
2099,5605 DELRIDGE WAY SW,seattle,98106.0,WA
2104,1519 PIKE PL,seattle,98101.0,WA
2115,12343 LAKE CITY WAY NE ,seattle,98125.0,WA
2127,516 15TH AVE E ,seattle,98112.0,WA
2139,1511 PIKE PL ,seattle,98101.0,WA
2150,4226 E MADISON ST ,seattle,98112.0,WA
2161,2010 WESTERN AVE,seattle,98121.0,WA
2166,1253 THOMAS ST ,seattle,98109.0,WA
2171,4903 RAINIER AVE S ,seattle,98118.0,WA
2173,3501 SW AVALON WAY,seattle,98126.0,WA
2179,424 7TH AVE S ,seattle,98104.0,WA
2192,2226 1ST AVE ,seattle,98121.0,WA
2198,2963 4TH AVE S ,seattle,98134.0,WA
2200,200 TAYLOR AVE N ,seattle,98109.0,WA
2201,305 HARRISON ST,seattle,98109.0,WA
2202,6417 ROOSEVELT WAY NE #106 ,seattle,98115.0,WA
2207,6501 ROOSEVELT WAY NE,seattle,98115.0,WA
2213,727 E PIKE ST ,seattle,98122.0,WA
2225,401 NE NORTHGATE WAY 1119,seattle,98125.0,WA
2235,808 3RD AVE 190,seattle,98104.0,WA
2245,1601 HARVARD AVE ,seattle,98122.0,WA
2255,4138 UNIVERSITY WAY NE ,seattle,98105.0,WA
2262,325 5TH AVE N,seattle,98109.0,WA
2265,2631 NE UNIVERSITY VILLAGE MALL,seattle,98105.0,WA
2269,2120 W EMERSON PL ,seattle,98199.0,WA
2276,9736 GREENWOOD AVE N ,seattle,98103.0,WA
2282,8549 GREENWOOD AVE N ,seattle,98103.0,WA
2294,7719 N GREENWOOD AVE N ,seattle,98103.0,WA
2302,1515 QUEEN ANNE AVE N,seattle,98109.0,WA
2306,1433 4TH AVE,seattle,98101.0,WA
2310,550 12TH AVE,seattle,98122.0,WA
2314,621 BROADWAY AVE E ,seattle,98102.0,WA
2325,2332 1ST AVE ,seattle,98121.0,WA
2328,1425 31ST AVE S ,seattle,98144.0,WA
2338,2232 QUEEN ANNE AVE N ,seattle,98109.0,WA
2339,2212 E CHERRY ST ,seattle,98122.0,WA
2343,9413 16TH AVE SW,seattle,98106.0,WA
2353,8801 ROOSEVELT WAY NE,seattle,98115.0,WA
2363,1102 N 34TH ST ,seattle,98103.0,WA
2364,3228 1ST AVE S ,seattle,98134.0,WA
2374,4869 RAINIER AVE S ,seattle,98118.0,WA
2381,1660 HARBOR AVE SW,seattle,98126.0,WA
2383,3456 15TH AVE W ,seattle,98119.0,WA
2395,1240 S JACKSON ST,seattle,98144.0,WA
2403,1533 PIKE PL,seattle,98101.0,WA
2409,3418 W MCGRAW ST,seattle,98199.0,WA
2419,4228 UNIVERSITY WAY NE ,seattle,98105.0,WA
2433,5401 25TH AVE NE,seattle,98105.0,WA
2437,1508 MELROSE AVE,seattle,98122.0,WA
2439,205 1ST AVE S ,seattle,98104.0,WA
2454,622 BROADWAY E ,seattle,98102.0,WA
2460,606 5TH AVE S,seattle,98104.0,WA
2472,600 E PINE ST ,seattle,98122.0,WA
2473,4752 UNIVERSITY WAY NE ,seattle,98105.0,WA
2483,406 5TH AVE S,seattle,98104.0,WA
2490,508 S KING ST ,seattle,98104.0,WA
2492,1118 E PIKE ST,seattle,98122.0,WA
2499,219 BROADWAY AVE E #26B,seattle,98102.0,WA
2502,1536 PIKE PL ,seattle,98101.0,WA
2507,615 3RD AVE ,seattle,98104.0,WA
2517,8410 5TH AVE ,seattle,98115.0,WA
2529,2720 3RD AVE #5,seattle,98121.0,WA
2532,4449 CALIFORNIA AVE SW ,seattle,98116.0,WA
2540,720 OLIVE WAY ,seattle,98101.0,WA
2546,422 YALE AVE N ,seattle,98109.0,WA
2557,1501 4TH AVE ,seattle,98101.0,WA
2562,110 12TH AVE,seattle,98122.0,WA
2573,555 NORTHGATE MALL SPC 413,seattle,98125.0,WA
2581,120 BLANCHARD ST ,seattle,98121.0,WA
2589,516 MAYNARD AVE S ,seattle,98104.0,WA
2602,553 1ST AVE S ,seattle,98104.0,WA
2608,8537 15TH AVE NW,seattle,98117.0,WA
2610,1113 6TH AVE,seattle,98101.0,WA
2613,5502 25TH AVE NE ,seattle,98105.0,WA
2627,1400 1ST AVE ,seattle,98101.0,WA
2631,2050 S COLUMBIAN WAY,seattle,98108.0,WA
2648,1410 34TH AVE ,seattle,98122.0,WA
2661,310 NE 72ND ST ,seattle,98115.0,WA
2666,473 N 36TH ST,seattle,98103.0,WA
2677,418 8TH AVE S,seattle,98104.0,WA
2685,5327 DENVER AVE S,seattle,98108.0,WA
2691,4710 42ND AVE SW ,seattle,98116.0,WA
2699,700 5TH AVE,seattle,98104.0,WA
2707,1629 EASTLAKE AVE E,seattle,98102.0,WA
2712,13055 LAKE CITY WAY NE ,seattle,98125.0,WA
2714,214 1ST AVE S ,seattle,98104.0,WA
2726,4548 CALIFORNIA AVE SW ,seattle,98116.0,WA
2738,4129 UNIVERSITY WAY NE ,seattle,98105.0,WA
2739,3311 W MCGRAW ST ,seattle,98199.0,WA
2750,2253 N 56TH ST ,seattle,98103.0,WA
2751,1616 EASTLAKE AVE E ,seattle,98102.0,WA
2764,4336 ROOSEVELT WAY NE #D/E,seattle,98105.0,WA
2765,1517 SW 104TH ST ,seattle,98146.0,WA
2770,6421 15TH AVE NW,seattle,98107.0,WA
2778,1237 S JACKSON ST ,seattle,98144.0,WA
2791,6017 AIRPORT WAY S ,seattle,98108.0,WA
2803,2005 NW MARKET ST ,seattle,98107.0,WA
2819,304 6TH AVE S,seattle,98104.0,WA
2831,803 E PIKE ST ,seattle,98122.0,WA
2838,703 N 34TH ST ,seattle,98103.0,WA
2850,700 E PINE ST ,seattle,98122.0,WA
2862,2200 2ND AVE,seattle,98121.0,WA
2867,2801 E CHERRY ST ,seattle,98122.0,WA
2875,727 PINE ST ,seattle,98101.0,WA
2887,2518 BEACON AVE S ,seattle,98144.0,WA
2891,5701 15th AVE NW #A,seattle,98107.0,WA
2893,401 NE NORTHGATE WAY #VC-3,seattle,98125.0,WA
2894,7419 GREENWOOD AVE N ,seattle,98103.0,WA
2905,1818 WESTLAKE AVE N ,seattle,98109.0,WA
2908,1635 8TH AVE,seattle,98101.0,WA
2914,7821 AURORA AVE N,seattle,98103.0,WA
2917,901 FAIRVIEW AVE N ,seattle,98109.0,WA
2928,1225 4TH AVE ,seattle,98101.0,WA
2939,3701 NE 45TH ST ,seattle,98105.0,WA
2951,9820 AURORA AVE N ,seattle,98103.0,WA
2961,164 S WASHINGTON ST ,seattle,98104.0,WA
2971,8550 GREENWOOD AVE N ,seattle,98103.0,WA
2976,2719 E MADISON ST ,seattle,98112.0,WA
2987,805 NE 65TH ST,seattle,98115.0,WA
2992,109 YESLER WAY ,seattle,98104.0,WA
2993,3510 FREMONT AVE N ,seattle,98103.0,WA
3000,2508 ALKI AVE SW ,seattle,98116.0,WA
3010,3118 NE 65TH ST ,seattle,98115.0,WA
3013,407 CEDAR ST,seattle,98121.0,WA
3021,4868 RAINIER AVE S ,seattle,98118.0,WA
3031,1707 NW MARKET ST ,seattle,98107.0,WA
3044,317 W GALER ST ,seattle,98119.0,WA
3051,2114 N 45TH ST,seattle,98103.0,WA
3053,456 12TH AVE,seattle,98122.0,WA
3064,1100 PIKE ST ,seattle,98101.0,WA
3077,2201 4TH AVE S ,seattle,98134.0,WA
3084,235 SUMMIT AVE E,seattle,98102.0,WA
3085,2325 NW MARKET ST ,seattle,98107.0,WA
3096,1706 RAINIER AVE S ,seattle,98144.0,WA
3108,5425 RUSSELL AVE NW ,seattle,98107.0,WA
3120,507 15TH AVE E,seattle,98112.0,WA
3132,2514 E CHERRY ST,seattle,98122.0,WA
3140,4510 CALIFORNIA AVE SW ,seattle,98116.0,WA
3153,6501 35TH AVE SW ,seattle,98126.0,WA
3156,4301 LEARY WAY NW ,seattle,98107.0,WA
3170,2421 1ST AVE,seattle,98121.0,WA
3179,1000 2ND AVE ,seattle,98104.0,WA
3188,614 MAYNARD AVE S ,seattle,98104.0,WA
3196,5506 22ND AVE NW ,seattle,98107.0,WA
3209,5210 ROOSEVELT WAY NE #B ,seattle,98105.0,WA
3218,707 S KING ST ,seattle,98104.0,WA
3229,3642 33RD AVE S C-6,seattle,98144.0,WA
3234,701 5TH AVE 211,seattle,98104.0,WA
3237,8539 15TH AVE NW ,seattle,98117.0,WA
3250,15252 AURORA AVE N ,shoreline,98133.0,WA
3261,323 NW 85TH ST,seattle,98117.0,WA
3272,2208 QUEEN ANNE AVE N ,seattle,98109.0,WA
3286,600 4TH AVE ,seattle,98104.0,WA
3294,5603 4TH AVE S,seattle,98108.0,WA
3297,2401 UTAH AVE S,seattle,98134.0,WA
3327,2800 1ST AVE ,seattle,98121.0,WA
3329,2918 SW AVALON WAY ,seattle,98126.0,WA
3340,1401 3RD AVE ,seattle,98101.0,WA
3351,9029 25TH AVE SW,seattle,98126.0,WA
3359,209 2ND AVE S ,seattle,98104.0,WA
3369,1904 PIKE PL ,seattle,98101.0,WA
3380,1125 E OLIVE ST STE A,seattle,98122.0,WA
3392,8345 15TH AVE NW,seattle,98117.0,WA
3394,404 N 36TH ST,seattle,98103.0,WA
3402,5518 20TH AVE NW ,seattle,98107.0,WA
3414,2010 4TH AVE ,seattle,98121.0,WA
3425,2830 NW MARKET ST,seattle,98107.0,WA
3427,544 ELLIOTT AVE W ,seattle,98119.0,WA
3439,4900 RAINIER AVE S ,seattle,98118.0,WA
3444,305 LENORA ST ,seattle,98121.0,WA
3449,3221 NE 145TH ST ,seattle,98125.0,WA
3450,2021 RAINIER AVE S ,seattle,98144.0,WA
3456,821 1ST AVE ,seattle,98104.0,WA
3461,14303 AURORA AVE N ,seattle,98133.0,WA
3472,103 1ST AVE S,seattle,98104.0,WA
3476,1815 N 45TH ST #103 ,seattle,98103.0,WA
3486,2043 EASTLAKE AVE E ,seattle,98102.0,WA
3498,1016 MADISON ST,seattle,98104.0,WA
3507,3301 4TH AVE S ,seattle,98134.0,WA
3514,1420 5TH AVE,seattle,98101.0,WA
3516,7845 LAKE CITY WAY NE ,seattle,98115.0,WA
3527,1520 7TH AVE,seattle,98101.0,WA
3528,210 BROADWAY E,seattle,98102.0,WA
3531,2231 32ND AVE W ,seattle,98199.0,WA
3543,351 ELLIOTT AVE W ,seattle,98119.0,WA
3544,8502 AURORA AVE N,seattle,98103.0,WA
3547,4135 UNIVERSITY WAY NE ,seattle,98105.0,WA
3553,107 Pike ST,seattle,98101.0,WA
3559,2366 EASTLAKE AVE E ,seattle,98102.0,WA
3567,105 W MERCER ST,seattle,98119.0,WA
3578,12336 31ST AVE NE,seattle,98125.0,WA
3589,524 15TH AVE E ,seattle,98112.0,WA
3590,4622 26TH AVE NE,seattle,98105.0,WA
3601,8600 14TH AVE S,seattle,98108.0,WA
3606,6411 LATONA AVE NE ,seattle,98115.0,WA
3616,305 HARRISON ST #220,seattle,98109.0,WA
3618,305 HARRISON ST #225,seattle,98109.0,WA
3619,709 N 35TH ST ,seattle,98103.0,WA
3620,4203 SW ADMIRAL WAY ,seattle,98116.0,WA
3623,301 2ND AVE EXT S,seattle,98104.0,WA
3626,1170 REPUBLICAN ST #B,seattle,98109.0,WA
3631,8004 GREENWOOD AVE N ,seattle,98103.0,WA
3635,501 23RD AVE ,seattle,98122.0,WA
3648,808 POST AVE ,seattle,98104.0,WA
3659,925 4TH AVE #430,seattle,98104.0,WA
3660,2201 QUEEN ANNE AVE N,seattle,98109.0,WA
3665,1024 S BAILEY ST ,seattle,98108.0,WA
3676,3820 S FERDINAND ST ,seattle,98118.0,WA
3679,1510 NE 117TH ST STE B,seattle,98125.0,WA
3683,1140 NW MARKET ST ,seattle,98107.0,WA
3690,1226 S JACKSON ST ,seattle,98144.0,WA
3693,612 2ND AVE,seattle,98104.0,WA
3694,5509 UNIVERSITY WAY NE #C,seattle,98105.0,WA
3695,9828 15TH AVE SW STE B,seattle,98106.0,WA
3710,213 BROADWAY AVE E ,seattle,98102.0,WA
3717,4142 BROOKLYN AVE NE ,seattle,98105.0,WA
3721,10231 16TH AVE SW ,seattle,98146.0,WA
3730,4918 RAINIER AVE S ,seattle,98118.0,WA
3742,701 5TH AVE 102,seattle,98104.0,WA
