restaurant_id,restaurant_name,rating,review_count,locality,street_address,categories
nsWrO3ptK_w74UvMc5gHNg,The Lookout,3.5,76,Seattle,757 Bellevue Ave E,"[u'Pubs', u'Bars', u'American (New)', u'Nightlife', u'Restaurants']"
HgimHZv44MHmoDkkUp8jVw,The Lucky Diner,3.5,153,Seattle,2630 1st Ave,"[u'Breakfast & Brunch', u'American (New)', u'Diners', u'Restaurants']"
k7zbAvVtJhTxn5qYiZh9BA,Kurry King,4,5,Seattle,5503 Airport Way S,"[u'Pakistani', u'Vegetarian', u'Indian', u'Thai', u'Restaurants']"
WLddWQHMSNFJ6w6JYM4_ag,Kurrent Restaurant & Ice Bar,3,63,Seattle,600 E Pine St,"[u'Asian Fusion', u'Bars', u'Nightlife', u'Lounges', u'Restaurants']"
KhNAyIBbLFHwFgGvzsVd0g,Kushibar Japanese Bar & Restaurant,3,302,Seattle,2319 2nd Ave,"[u'Lounges', u'Bars', u'Japanese', u'Nightlife', u'Restaurants']"
zZP-L0QcWn64nEqv1rx4_A,Kusina Filipina,4,46,Seattle,3201 Beacon Ave S,"[u'Filipino', u'Restaurants']"
2eOcb7YeZvit_0g7EMgZ_w,Kwanjai Thai,2,1,Seattle,469 N 36th St,"[u'Thai', u'Restaurants']"
OPj6QZCSkWvqIFg5PV1WGQ,Kwanjai Thai,4,160,Seattle,469 N 36th St,"[u'Thai', u'Restaurants']"
CLhyfzQxqNrjfknvXJLzlQ,KwaTay's Restaurant and Lounge,3,12,Seattle,315 1st Ave N,"[u'Nightlife', u'African', u'Music Venues', u'Arts & Entertainment', u'Restaurants']"
YFgfBOHw3RPUsWDxNXPz8g,Kylie's Chicago Pizza,4,336,Seattle,3601 Fremont Ave N,"[u'Pizza', u'Restaurants']"
vo2EMb8CkdTDL4gTQ3YaQQ,Kyoto Sushi & Teriyaki,3.5,7,Seattle,4743 Brooklyn Ave NE,"[u'Japanese', u'Sushi Bars', u'Restaurants']"
m_Wy6J0anj8LWO4c930CfQ,Kyoto Teriyaki,2,2,Seattle,1016 NE 65th St,[u'Restaurants']
M7Jv1A3y58SwBOZMKZXI1g,Kyoto Teriyaki,3.5,49,Seattle,803 E Pike St,"[u'Korean', u'Japanese', u'Restaurants']"
PBWURWkikpzqBe5sHkur-w,Kyoto Teriyaki,3.5,16,Seattle,4743 Brooklyn Ave NE,"[u'Japanese', u'Restaurants']"
C0YCut9sOdvv48ykAir9GA,The Kingfish Cafe,4,610,Seattle,602 19th Ave E,"[u'Breakfast & Brunch', u'Southern', u'Restaurants']"
PR6KF9RCk92oOwII3sswJQ,Jup Jup Jup,3.5,58,Seattle,209 Broadway E,"[u'Thai', u'Restaurants']"
iq9lsFGtqMQAR8o88U0LfQ,Just Crepes,4.5,30,Seattle,2502 5th Ave,"[u'Food', u'Coffee & Tea', u'Creperies', u'Juice Bars & Smoothies', u'Restaurants']"
iWvY_1eRLGBlEctLCWJEDw,The J&M Cafe,3,52,Seattle,201 1st Ave S,"[u'American (Traditional)', u'Pubs', u'Bars', u'Nightlife', u'Restaurants']"
yCGrX8xRC0Kl7YPWJKnLOg,The Jones Bistro,3.5,33,Seattle,8824 Roosevelt Way NE,[u'Restaurants']
gicm0n6oBxQ1bpiwju_A8A,Ipanema Grill,4,407,Seattle,1225 1st Ave,"[u'Brazilian', u'Buffets', u'Restaurants']"
UESuWZGVzL0g6lYQ2Jrv2A,Irish Emigrant,3.5,24,Seattle,5260 University Way NE,"[u'Pubs', u'Bars', u'Nightlife', u'Irish', u'Restaurants']"
Iwj_Ci1-XvbwQIIiRpiFvg,Irwin's Cafe at Hydro House,3.5,3,Seattle,1201 Eastlake Ave E,"[u'Food', u'Bakeries', u'Cafes', u'Restaurants']"
31iEbsVPzdt7nz-JVOkQFQ,Irwin's Bakery and Cafe,3.5,80,Seattle,2123 N 40th St,"[u'Food', u'Bakeries', u'Coffee & Tea', u'Cafes', u'Restaurants']"
qDD3Ol4wzSH0zBJniQsecA,Irwin's Neighborhood Bakery and Cafe,4,32,Seattle,301 NE 65th St,"[u'Food', u'Coffee & Tea', u'Bakeries', u'Cafes', u'Restaurants']"
QUzMZQc03MuToONYxqFriw,Isami Asian Grill,2,2,Seattle,610 5th Ave S,"[u'Asian Fusion', u'Restaurants']"
oaVh2LJjAkpWLMrUXpzSaQ,Isabella Ristorante,5,1,Seattle,1909 3rd Ave,"[u'Italian', u'Restaurants']"
9_3LsDPY3PuSQ3jRSd5V4w,Isla Manila Bar & Grill,4.5,34,Seattle,11740 15th Ave NE,"[u'Filipino', u'Restaurants']"
IsWM7BrvfZgZfZnC22_64w,Island Soul Caribbean Cuisine,4,263,Seattle,4869 Rainier Ave S,"[u'Caribbean', u'Restaurants']"
Bm3CwlF8YuCnHUTy5bd_lw,Istanbul Cafe,4,1,Seattle,254 NE 45th St,"[u'Turkish', u'Mediterranean', u'Restaurants']"
4IaolROHObe9RSuRtRZ0DA,Issian,3.5,130,Seattle,1618 N 45th St,"[u'Japanese', u'Sushi Bars', u'Restaurants']"
tt6dEjBDqsMqOgVwZTTtdg,Istanbul Kebab,3.5,20,Seattle,8317 Greenwood Ave N,"[u'Turkish', u'Middle Eastern', u'Restaurants']"
