address,city,zip,tract
2323 2ND AVE,seattle,98121,80.01
2325 NW MARKET ST,seattle,98107,47
2329 CALIFORNIA AVE SW,seattle,98116,96
2331 2ND AVE,seattle,98121,80.01
2332 1ST AVE,seattle,98121,80.01
2334 2ND AVE,seattle,98121,80.01
2336 25TH AVE S,seattle,98144,95
2338 RAINIER AVE S,seattle,98144,95
2341 CALIFORNIA AVE SW,seattle,98116,96
235 BROADWAY AVE E,seattle,98102,74.02
235 SUMMIT AVE E,seattle,98102,74.02
2366 EASTLAKE AVE E,seattle,98102,61
2401 4TH AVE S,seattle,98134,93
2401 NW Market ST,seattle,98107,32
2401 UTAH AVE S,seattle,98134,93
2408 1ST AVE,seattle,98121,80.01
2408 NW 80TH ST,seattle,98117,31
2411 2ND AVE,seattle,98121,80.01
2414 BEACON AVE S,seattle,98144,94
2421 1ST AVE,seattle,98121,80.02
2422 1ST AVE,seattle,98121,80.01
2425 33RD AVE W,seattle,98199,57
2425 4TH AVE S,seattle,98134,93
2445 4TH AVE S,seattle,98134,93
2460 WESTERN AVE,seattle,98121,80.02
2501 4TH AVE,seattle,98121,72
2505 1ST AVE,seattle,98121,80.01
2508 ALKI AVE SW,seattle,98116,97.01
2510 1ST AVE,seattle,98121,80.01
2514 E CHERRY ST,seattle,98122,88
2515 NE 55TH ST,seattle,98105,43.01
2516 ALKI AVE SW,seattle,98116,97.01
2518 BEACON AVE S,seattle,98144,100.02
2523 5th AVE,seattle,98121,72
2524 16TH AVE S,seattle,98144,100.02
2576 AURORA AVE N,seattle,98109,60
2580 SW BARTON ST,seattle,98126,114.02
2600 1ST AVE,seattle,98121,80.01
2605 E CHERRY ST,seattle,98122,88
2609 S MCCLELLAN ST,seattle,98144,100.01
2616 2ND AVE,seattle,98121,80.01
2619 1ST AVE,seattle,98121,80.01
2620 ALKI AVE SW,seattle,98116,97.01
2621 5TH AVE,seattle,98121,72
2631 NE UNIVERSITY VILLAGE MALL,seattle,98105,41
2650 NE UNIVERSITY VILLAGE ST,seattle,98105,41
2666 ALKI AVE SW,seattle,98116,97.01
2681 NE UNIVERSITY VILLAGE ST,seattle,98105,41
269 NE 45TH ST,seattle,98105,52
2695 NE VILLAGE LN,seattle,98105,41
2701 E MADISON ST,seattle,98112,77
2715 E CHERRY ST #B,seattle,98122,88
2716 ALKI AVE SW,seattle,98116,97.01
2719 E MADISON ST,seattle,98112,77
2720 3RD AVE #5,seattle,98121,72
2727 4TH AVE S,seattle,98134,93
2739 E MADISON ST,seattle,98112,77
2746 NE 45TH ST,seattle,98105,43.01
2762 4TH AVE S,seattle,98134,93
2770 ALKI AVE SW,seattle,98116,97.01
2800 1ST AVE,seattle,98121,80.01
2800 E MADISON ST,seattle,98112,77
2801 ALASKAN WAY,seattle,98121,80.01
2801 E CHERRY ST,seattle,98122,88
2801 E MADISON ST,seattle,98112,77
2801 WESTERN AVE #A,seattle,98121,80.01
2801 WESTERN AVE #B,seattle,98121,80.01
2805 E MADISON ST,seattle,98112,77
2809 THORNDYKE AVE W #A,seattle,98199,58.02
2819 2ND AVE,seattle,98121,80.01
2820 ALKI AVE SW,seattle,98116,97.01
2823 SW ROXBURY ST,seattle,98126,266
2830 NW MARKET ST,seattle,98107,32
2853 NW MARKET ST,seattle,98107,32
2865 EASTLAKE AVE E,seattle,98102,61
2901 E MADISON ST,seattle,98112,77
2901 NE BLAKELEY ST,seattle,98105,43.01
2918 SW AVALON WAY,seattle,98126,99
2947 EASTLAKE AVE E,seattle,98102,61
2962 1ST AVE S,seattle,98134,93
2963 4TH AVE S,seattle,98134,93
2968 EASTLAKE AVE,seattle,98102,61
301 2ND AVE EXT S,seattle,98104,92
301 NW 85TH ST,seattle,98117,29
301 WESTLAKE AVE N,seattle,98109,72
3019 BEACON AVE S,seattle,98144,100.02
302 NE NORTHGATE WAY,seattle,98125,12
304 6TH AVE S,seattle,98104,92
3040 NE 45TH ST,seattle,98105,43.01
305 HARRISON ST,seattle,98109,71
305 HARRISON ST #220,seattle,98109,71
305 HARRISON ST #221,seattle,98109,71
305 HARRISON ST #225,seattle,98109,71
305 LENORA ST,seattle,98121,72
3055 21ST AVE W,seattle,98199,58.02
3057 BEACON AVE S,seattle,98144,100.02
3058 NW 54TH ST,seattle,98107,32
306 23RD AVE S,seattle,98144,89
306 LENORA ST,seattle,98121,72
308 N 125TH ST,seattle,98133,4.02
309 NE 45TH ST,seattle,98105,52
309 S CLOVERDALE ST,seattle,98108,112
310 NE 72ND ST,seattle,98115,36
310 TERRY AVE N,seattle,98109,73
3109 E MADISON ST,seattle,98112,63
3118 NE 65TH ST,seattle,98115,38
312 N 67TH ST,seattle,98103,35
3121 E MADISON ST,seattle,98112,63
3130 E MADISON ST,seattle,98112,63
315 N 145TH ST,seattle,98133,4.01
316 15TH AVE E,seattle,98112,76
316 VIRGINIA ST,seattle,98121,72
317 W GALER ST,seattle,98119,70
318 NICKERSON ST,seattle,98109,60
3200 15TH AVE W,seattle,98119,58.01
3220 S HUDSON ST,seattle,98118,103
3221 NE 145TH ST,seattle,98125,1
3221 W MCGRAW ST,seattle,98199,56
3222 MCGRAW ST W A,seattle,98199,57
3228 1ST AVE S,seattle,98134,93
323 NW 85TH ST,seattle,98117,29
3230 EASTLAKE AVE E,seattle,98102,61
324 BROADWAY E,seattle,98102,75
325 5TH AVE N,seattle,98109,71
327 NE Thornton PL,seattle,98125,19
3301 4TH AVE S,seattle,98134,93
3311 W MCGRAW ST,seattle,98199,56
3315 BEACON AVE S,seattle,98144,100.02
332 15TH AVE E,seattle,98112,76
